COUNTY,CHP,MEDICAID,TOTAL
ALBANY,"1,607","7,244","8,851"
ALLEGANY,216,"1,275","1,491"
BROOME,989,"5,726","6,715"
CATTARAUGUS,420,"2,328","2,748"
CAYUGA,516,"1,969","2,485"
CHAUTAUQUA,568,"3,972","4,540"
CHEMUNG,390,"2,578","2,968"
CHENANGO,361,"1,433","1,794"
CLINTON,468,"1,770","2,238"
COLUMBIA,358,"1,171","1,529"
CORTLAND,288,"1,363","1,651"
DELAWARE,238,989,"1,227"
DUTCHESS,"1,479","5,676","7,155"
ERIE,"4,116","26,045","30,161"
ESSEX,232,645,877
FRANKLIN,250,"1,250","1,500"
FULTON,391,"1,749","2,140"
GENESEE,386,"1,442","1,828"
GREENE,304,"1,053","1,357"
HAMILTON,23,72,95
HERKIMER,457,"1,670","2,127"
JEFFERSON,609,"3,074","3,683"
LEWIS,234,666,900
LIVINGSTON,357,"1,122","1,479"
MADISON,404,"1,434","1,838"
MONROE,"4,518","20,885","25,403"
MONTGOMERY,328,"1,788","2,116"
NASSAU,"6,973","26,550","33,523"
NIAGARA,"1,033","5,650","6,683"
ONEIDA,"1,430","7,464","8,894"
ONONDAGA,"2,432","13,350","15,782"
ONTARIO,695,"2,107","2,802"
ORANGE,"3,658","19,346","23,004"
ORLEANS,235,"1,225","1,460"
OSWEGO,612,"3,585","4,197"
OTSEGO,334,"1,191","1,525"
PUTNAM,374,"1,471","1,845"
RENSSELAER,853,"4,016","4,869"
ROCKLAND,"5,482","26,177","31,659"
ST LAWRENCE,"1,265","2,652","3,917"
SARATOGA,"1,161","3,445","4,606"
SCHENECTADY,153,"5,276","5,429"
SCHOHARIE,91,659,750
SCHUYLER,207,355,562
SENECA,557,738,"1,295"
STEUBEN,524,"2,750","3,274"
SUFFOLK,"8,594","37,314","45,908"
SULLIVAN,527,"3,616","4,143"
TIOGA,292,"1,265","1,557"
TOMPKINS,364,"1,551","1,915"
ULSTER,939,"3,898","4,837"
WARREN,455,"1,406","1,861"
WASHINGTON,505,"1,511","2,016"
WAYNE,715,"2,300","3,015"
WESTCHESTER,"3,806","20,642","24,448"
WYOMING,247,859,"1,106"
YATES,165,509,674
BRONX,"5,112","82,561","87,673"
KINGS,"14,225","127,242","141,467"
NEW YORK,"2,715","32,580","35,295"
QUEENS,"12,061","89,219","101,280"
RICHMOND,"2,016","16,017","18,033"
TOTAL,"101,314","650,886","752,200"
