Insurer,Type of Plan,2019 Requested,2019 Approved,2020 Requested,2020 Approved,2021 Requested,2021 Approved,2022 Requested,2022 Approved,2023 Requested,2023 Approved,2024 Requested,2024 Approved,2025 Requested,2025 Approved,2026 Requested,2026 Approved,2027 Requested
Anthem,HMO,24.00%,0.00%,6.20%,0.00%,16.60%,1.00%,10.20%,0.40%,6.90%,0.50%,20.70%,8.60%,14.50%,12.70%,10.30%,4.60%,11.30%
CDPHP,HMO,5.10%,-1.90%,7.00%,6.50%,4.30%,4.30%,11.40%,7.00%,28.40%,16.50%,23.50%,12.10%,18.70%,13.70%,13.70%,12.10%,1.40%
Emblem,HMO,8.90%,4.60%,6.30%,6.30%,1.50%,-0.20%,6.20%,4.50%,14.00%,10.00%,15.20%,12.20%,19.50%,18.30%,24.80%,20.70%,17.20%
Excellus Health,EPO,31.50%,17.00%,13.50%,13.50%,9.50%,3.80%,5.20%,1.20%,34.60%,9.00%,52.70%,25.10%,51.00%,35.60%,0.90%,-9.00%,26.80%
Fidelis,HMO,15.00%,9.50%,8.00%,6.40%,2.40%,-2.50%,34.40%,9.70%,13.00%,8.30%,20.90%,12.50%,16.80%,12.70%,14.30%,9.00%,14.90%
Healthfirst,HMO,-3.20%,-3.20%,10.00%,8.60%,-1.90%,-2.80%,18.10%,6.20%,20.50%,12.80%,22.60%,13.00%,30.90%,26.50%,23.90%,19.40%,23.80%
Highmark,EPO,21.30%,0.60%,3.30%,1.70%,-3.70%,-5.30%,-0.20%,-4.40%,10.20%,6.10%,39.20%,25.30%,27.70%,24.40%,38.40%,20.80%,14.20%
IHBC,EPO,13.50%,13.50%,8.60%,7.60%,9.60%,5.00%,-3.90%,-3.90%,12.80%,8.10%,26.40%,17.50%,28.30%,23.60%,10.10%,4.40%,17.00%
MetroPlus Health,HMO,6.50%,1.90%,6.80%,6.80%,6.70%,3.80%,16.90%,8.50%,19.20%,10.10%,13.30%,6.50%,19.20%,17.90%,8.00%,7.40%,10.70%
MVP Health,HMO POS,18.50%,13.70%,6.80%,3.90%,18.80%,1.60%,3.70%,-0.10%,23.20%,12.40%,18.20%,15.90%,9.80%,5.90%,8.10%,2.90%,28.40%
Oscar Insurance,EPO,25.20%,11.00%,15.40%,14.00%,19.10%,4.90%,13.60%,7.50%,14.60%,6.50%,18.40%,7.90%,25.40%,19.40%,17.00%,3.50%,23.80%
United Healthcare,HMO,23.60%,1.50%,27.10%,15.00%,13.80%,4.80%,13.90%,7.10%,16.10%,9.20%,20.90%,12.20%,8.80%,0.00%,36.60%,9.10%,52.10%
Weighted Average,na,,,9.20%,6.80%,11.80%,1.80%,11.20%,3.70%,18.60%,9.60%,20.90%,13.50%,16.50%,12.70%,13.50%,7.10%,20.70%
